country_code,currency_code,full_price,gender,image_url,item_url,price,product_category,product_code,product_name,product_subcategory
GBR,GBP,780,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/0ec21f31-52e5-493d-bd98-ae79dcc39d77/ihqstx/std/500x0/ONE-STUD-NAPPA-LEATHER-LOW-TOP-SNEAKER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-one-stud-nappa-leather-low-top-sneaker--YS0E71QEE_6SJ,468,SHOES,YS0E71QEE_6SJ,ONE STUD NAPPA LEATHER LOW-TOP SNEAKER ,TRAINERS
GBR,GBP,680,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/62b86902-0fcf-4165-93de-4a727b52bbaa/ihqstx/std/500x0/STUD-AROUND-LOW-TOP-CALFSKIN-AND-NAPPA-LEATHER-SNEAKER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-stud-around-low-top-calfskin-and-nappa-leather-sneaker-YS0G51TUF_UZ7,408,SHOES,YS0G51TUF_UZ7,STUD AROUND LOW-TOP CALFSKIN AND NAPPA LEATHER SNEAKER,TRAINERS
GBR,GBP,680,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/3dd4bff0-d116-4332-bb49-114df571139c/ihqstx/std/500x0/STUD-AROUND-LOW-TOP-CALFSKIN-AND-NAPPA-LEATHER-SNEAKER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-stud-around-low-top-calfskin-and-nappa-leather-sneaker-YS0G51TUF_UZ6,408,SHOES,YS0G51TUF_UZ6,STUD AROUND LOW-TOP CALFSKIN AND NAPPA LEATHER SNEAKER,TRAINERS
GBR,GBP,680,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/caab50a2-97bf-4a49-a60c-52d076ee8c96/ihqstx/std/500x0/STUD-AROUND-LOW-TOP-CALFSKIN-AND-NAPPA-LEATHER-SNEAKER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-stud-around-low-top-calfskin-and-nappa-leather-sneaker-YS0G51TUF_UZ5,408,SHOES,YS0G51TUF_UZ5,STUD AROUND LOW-TOP CALFSKIN AND NAPPA LEATHER SNEAKER,TRAINERS
GBR,GBP,780,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/0a71422e-983e-4285-ba1b-223a42a95419/ihqstx/std/500x0/ONE-STUD-LOW-TOP-NAPPA-SNEAKER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-one-stud-low-top-nappa-sneaker--YS0E71NWN_PZ1,468,SHOES,YS0E71NWN_PZ1,ONE STUD LOW-TOP NAPPA SNEAKER ,TRAINERS
GBR,GBP,780,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/3bdadddc-e471-44b7-89bb-1faa9222d8f2/ihqstx/std/500x0/ONE-STUD-NAPPA-LEATHER-LOW-TOP-SNEAKER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-one-stud-nappa-leather-low-top-sneaker--YS0E71CWA_6SH,468,SHOES,YS0E71CWA_6SH,ONE STUD NAPPA LEATHER LOW-TOP SNEAKER ,TRAINERS
GBR,GBP,610,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/b5c9020b-54e3-459b-9507-66fb28cb2c24/ihqstx/std/500x0/Open-for-a-Change-Sneaker-in-bio-based-material?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-open-for-a-change-sneaker-in-bio-based-material-YS0830PUD_M06,366,SHOES,YS0830PUD_M06,Open for a Change Sneaker in bio-based material,TRAINERS
GBR,GBP,830,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/82485769-0968-4a57-bbd4-e829b59835d7/ihqstx/std/500x0/OPEN-SKATE-CALFSKIN-AND-FABRIC-SNEAKER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-open-skate-calfskin-and-fabric-sneaker-YS0F89YPB_UYP,498,SHOES,YS0F89YPB_UYP,OPEN SKATE CALFSKIN AND FABRIC SNEAKER,TRAINERS
GBR,GBP,830,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/cfb215dd-8d7e-4d30-944c-45b6c49c3a1d/ihqstx/std/500x0/OPEN-SKATE-CALFSKIN-AND-FABRIC-SNEAKER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-open-skate-calfskin-and-fabric-sneaker-YS0F89YPB_6TX,498,SHOES,YS0F89YPB_6TX,OPEN SKATE CALFSKIN AND FABRIC SNEAKER,TRAINERS
GBR,GBP,830,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/78a913bf-87a9-4082-8091-f977174cfa10/ihqstx/std/500x0/OPEN-SKATE-CALFSKIN-AND-FABRIC-SNEAKER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-open-skate-calfskin-and-fabric-sneaker-YS0F89YPB_6TT,498,SHOES,YS0F89YPB_6TT,OPEN SKATE CALFSKIN AND FABRIC SNEAKER,TRAINERS
